profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size1_C1,C1,1,translate,0.9863,0.9833949896476499,6.914540834,0.61,0.26381458300000027,0.37629999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size1_C1.pt
size2_C1_C2,C1_C2,2,translate,0.9878,0.9833949896476499,5.578664000000002,0.61,0.039962833000000586,0.3778,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C2.pt
size3_C1_C2_C3,C1_C2_C3,3,translate,0.9896,0.9833949896476499,5.336767416000001,0.61,0.0432511670000002,0.37960000000000005,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C3.pt
size3_C1_C2_C4,C1_C2_C4,3,translate,0.9905,0.9834778888552207,5.252446124999999,0.57,0.0399162500000001,0.4205000000000001,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C4.pt
size3_C1_C2_C5,C1_C2_C5,3,translate,0.9899,0.9834778888552207,5.462247417,0.66,0.038668459000000155,0.32989999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C2_C5.pt
size2_C1_C3,C1_C3,2,translate,0.9887,0.9817017518131382,5.688145792,0.62,0.039147167000000316,0.3687,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C3.pt
size3_C1_C3_C4,C1_C3_C4,3,translate,0.9897,0.9817017518131382,5.744740583000009,0.56,0.03976729199999962,0.42969999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C3_C4.pt
size3_C1_C3_C5,C1_C3_C5,3,translate,0.9906,0.9834778888552207,5.65536075,0.63,0.03946295799999966,0.36060000000000003,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C3_C5.pt
size2_C1_C4,C1_C4,2,translate,0.9892,0.9802269734000365,5.484987416999999,0.57,0.03887833300000043,0.4192,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size2_C1_C4.pt
size3_C1_C4_C5,C1_C4_C5,3,translate,0.99,0.9833949896476499,4.959110166000002,0.62,0.03966966599999999,0.37,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/profile/weights/size3_C1_C4_C5.pt
